Total Label: 5065


Location			Name								Type
80216650			aramMemArray								Data Label
803d2800			stick_bits								Data Label
801ba918			dynamic_glass_items								Data Label
803d4360			temp_fACROSS								Data Label
8011b7f8			D3DTEXTUREDIRECTENCODE								Data Label
803d3928			@35								Data Label
8012e238			DaddyRhinoAnim								Data Label
80135870			Space_SPACE_4CRYSTALS_PlayList								Data Label
8012e6b8			ZoffaNGinAnim								Data Label
803d2364			DRAWCRATESHADOWS								Data Label
803d44b0			SmokeyCountDownValue								Data Label
803d27f0			hLoadScreenThread								Data Label
8016a740			switchdataD_8016a740								Data Label
803d4760			superbuffer_reset_base								Data Label
803d4020			Callback								Data Label
803d42bc			RecvDataLeng								Data Label
80166ec8			@806								Data Label
80140890			SfxTabFRENZY								Data Label
803d2950			GBABG_mtl								Data Label
80126de0			CMD_GORILLA								Data Label
803d23d8			ATLASPLAYERLIFT								Data Label
803d247c			PLAYERCOUNT								Data Label
803d2cac			OIDENGRUMBLE								Data Label
80214f30			__block_for_ais_isr								Data Label
80161c9c			REMAP_CRASHANDBURN								Data Label
803d5868			log10_2lo								Data Label
803d40b8			ResettingBits								Data Label
803d2910			mg_colldist								Data Label
803d2758			memcard_saveresult_delay								Data Label
803d2540			wumpa_a								Data Label
803d22a4			CAMTOSUB								Data Label
803d40b4			EnabledBits								Data Label
803d3c90			c.154								Data Label
803d25d4			dme_sy								Data Label
803d29c8			cart_sfx								Data Label
803d34b8			SkinLights								Data Label
803d2e10			WBLeftStopFrame								Data Label
8016ce44			vpmtx								Data Label
8012daa0			StarfishAnim								Data Label
8021ab08			CommandList								Data Label
80137268			CrashesToAshesModelList								Data Label
803d2a18			PANELCRUNCHSCALE								Data Label
803d4270			CPUFifo								Data Label
803d4938			DebugCam								Data Label
803d3d84			g_dwAllocRT								Data Label
803d26dc			BOSSBREATHFRAME								Data Label
8016ab18			@461								Data Label
803d3c1c			mechlight_fade								Data Label
803d230c			cloudmtl								Data Label
80338014			RelTemp								Data Label
801202b8			D3DDIRTYFROMRENDERSTATE								Data Label
803d2ab0			CHECKPOINT3DSCALE								Data Label
80253edc			CModel								Data Label
8034d2bc			BigGunList								Data Label
80133138			csc_intro1								Data Label
803d300c			do_rigids								Data Label
803d58a8			Lg3								Data Label
803d4174			__ARQCallbackLo								Data Label
801654d8			Lockupbuffer3								Data Label
803d42c8			Chan								Data Label
80167a50			@39								Data Label
8016dda0			wobble_lookup								Data Label
803d39c0			GXTexTlutIds								Data Label
8016beec			mtxLOCATOR.168								Data Label
803191e8			mTEMP								Data Label
803d4418			cp_iRAIL								Data Label
803d3ecc			s.13								Data Label
80160824			gm								Data Label
803d2960			GRAVITY								Data Label
803d2750			memcard_formatmessage_delay								Data Label
8010fc38			D3DSIMPLERENDERSTATEENCODE								Data Label
8032d37c			akuaku_advice_played								Data Label
803d2c18			WeatherBossTargetAppearTime								Data Label
8012a8a8			fire_backpos								Data Label
803d485c			GliderCamHighTimer								Data Label
8010ac28			D3DDIRTYFROMRENDERSTATE								Data Label
803d1e4c			matWorldView								Data Label
803d5638			@97								Data Label
803d446c			crash_loaded								Data Label
803d4540			lcrunch								Data Label
803d4600			temp_hours								Data Label
80134d80			Space_WEATHER_1STLEVEL_PlayList								Data Label
801674dc			@309								Data Label
803d49b0			edanim_nearest_sound								Data Label
803d4530			water1								Data Label
8016bb20			_f_bss								Data Label
8012c510			CrashAnim_ATLASPHERE								Data Label
803ccbf0			GS_FrameBufferCopyPause								Data Label
803d389c			_impure_ptr								Data Label
80133364			csc_outro								Data Label
80141790			SfxTabASHES								Data Label
803d3d58			memext								Data Label
803d34ac			max_skin_verts								Data Label
8012f9d8			WetJellyFishAnim								Data Label
80144478			tCONFIRMOVERWRITE								Data Label
80214f90			__block_for_repeatmode								Data Label
8013c660			WesternPlayerStart								Data Label
80166204			@383								Data Label
803d32f0			GS_CurrentVertDesc								Data Label
803377f0			TrailAir								Data Label
8012d710			NTropyAnim								Data Label
8013c958			lcol								Data Label
80166aa8			ResetFunctionInfo								Data Label
803d4aa8			plathitid								Data Label
80123ba0			CMD_FISHSWIM								Data Label
8013c8bc			titlergb2								Data Label
803d4564			roof1								Data Label
801442f8			tDELETE								Data Label
801bc518			scale_array0.202								Data Label
803d4d78			lg2_l								Data Label
803d29d4			plr_tub_tilt								Data Label
803d2710			DatPtr								Data Label
803d2b24			FIREBOSSBARSCALEY								Data Label
803d3bf4			crunchtime_attack_phase								Data Label
8032bf88			finish_oldpos								Data Label
803d3e6c			aramUserBase2								Data Label
803d4f90			two_over_pi								Data Label
80384a6c			edpp_cam_pos								Data Label
80144808			tPLAYCRASHBLAST								Data Label
803d4220			__AXProfile								Data Label
803d4880			VulnerableA								Data Label
80111d1c			D3DSIMPLERENDERSTATEENCODE								Data Label
803d2ab4			CHECKPOINT3DSEPERATION								Data Label
803d3254			ActualIBSize								Data Label
803d29c4			SLOWMINECARTMUL								Data Label
803d2270			SPACEUKAFRAMEHACK								Data Label
8016aa40			@404								Data Label
803d4974			freedebchkptr								Data Label
80119d5c			D3DDIRTYFROMTEXTURESTATE								Data Label
803d26b0			FIREBOSSWALLFIREDIST								Data Label
803d4268			__peReg								Data Label
